Specific absorption coefficients (m2 mg-1) for six phytoplankton classes distributed with the Water Color Simulator 6 (WASI6) [1]:

0. phytoplankton:   typical mixture for Lake Constance calculated by Heege (2000) [2];
                    using phytoplankton absorption spectra1 and pigment data from 32 days in 1990 and 1991,
                    and he validated it using 139 irradiance reflectance and 278 attenuation measurements3 from 1990 to 1996 [1]
1. cryptophyta:     average of 20 samples from Lake Constance from March 2020; 
                    absorption was measured using an integrating sphere by Soppa et al. 2020 (unpublished); 
                    pigment concentrations were measured using HPLC by Dröscher (LUBW) [1]
2. cyanobacteria:   obtained from field measurements by Xi et al. 2017 [3] in the Baltic Sea during a bloom of cyanobacteria (most likely Nodularia sp.);
                    measurements were made by Röttgers et al. (HZG) on RV Ardana in 2010. Gege scaled their normalized spectrum to match at 440 nm the diatoms spectrum [1]
3. diatoms:         derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
4. dinoflagellates: derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]
5. green algae:     derived from pure cultures grown in the laboratory [4,5,6];
                    scaling was adjusted to match field measurements [7]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Heege (2000): Flugzeuggestützte Fernerkundung von Wasserinhaltsstoffen am Bodensee. PhD thesis. DLR-Forschungsbericht 2000-40, 134 p.
[3] Xi et al. (2017): Phytoplankton group identification using simulated and in situ hyperspectral remote sensing reflectance. [10.3389/fmars.2017.00272]
[4] Gege (1994): Gewässeranalyse mit passiver Fernerkundung: Ein Modell zur Interpretation optischer Spektralmessungen. PhD thesis. DLR-Forschungsbericht 94-15, 171 p
[5] Gege (1995): Water analysis by remote sensing: A model for the interpretation of optical spectral measurements. Technical Translation ESA-TT-1324, 231 pp.
[6] Gege (1998): Correction of specular reflections at the water surface. Ocean Optics XIV, Conference Papers, Vol. 2.
[7] Gege (2013): Estimation of phytoplankton concentration from downwelling irradiance measurements in water. [10.1560/IJPS.60.1-2.193]

wavelength_nm,phytoplankton,cryptophyta,cyanobacteria,diatoms,dinoflagellates,green_algae
534,0.0159,0.010155,0.021258,0.016419202,0.025997,0.007157
535,0.0158,0.010202,0.021435,0.016248404,0.025732,0.007038
536,0.0157,0.010244,0.021612,0.016075868,0.025468,0.006925
537,0.0156,0.010283,0.021792,0.01590112,0.025209,0.006818
538,0.0155,0.010322,0.021983,0.015724476,0.024954,0.006717
539,0.0154,0.010358,0.022182,0.015546284,0.024702,0.006622
540,0.0153,0.010392,0.022384,0.015366859,0.024456,0.006533
541,0.0152,0.010424,0.022586,0.015186138,0.024212,0.006449
542,0.015,0.010454,0.022793,0.015004849,0.023972,0.00637
543,0.0149,0.010481,0.023014,0.014823228,0.023736,0.006297
544,0.0148,0.010499,0.023254,0.014641797,0.023503,0.006228
545,0.0147,0.010511,0.023504,0.014460681,0.023276,0.006165
546,0.0146,0.010522,0.023757,0.014280767,0.023049,0.006107
547,0.0145,0.010529,0.02401,0.014102243,0.022828,0.006054
548,0.0144,0.010528,0.024265,0.01392552,0.02261,0.006006
549,0.0143,0.010519,0.024522,0.01375123,0.022395,0.005962
550,0.0142,0.010503,0.024766,0.013579484,0.022185,0.005923
551,0.0141,0.010478,0.024971,0.013410898,0.021976,0.00589
552,0.014,0.010446,0.025151,0.01324574,0.021773,0.005861
553,0.0139,0.010408,0.025336,0.013084549,0.021572,0.005837
554,0.0139,0.010364,0.025523,0.012927307,0.021374,0.005818
555,0.0138,0.010313,0.025711,0.012774426,0.021181,0.005804
556,0.0138,0.010257,0.025904,0.01262627,0.020988,0.005795
557,0.0137,0.010193,0.026101,0.012482758,0.020802,0.00579
558,0.0137,0.010122,0.026292,0.012344224,0.020617,0.005792
559,0.0137,0.010047,0.02647,0.01221073,0.020435,0.005798
560,0.0136,0.009966,0.026642,0.01208245,0.020257,0.005809
561,0.0136,0.00988,0.026799,0.011959273,0.02008,0.005826
562,0.0136,0.009786,0.026934,0.011841247,0.019909,0.005849
563,0.0135,0.00968,0.02705,0.011728372,0.019738,0.005877
564,0.0135,0.009559,0.027103,0.011620473,0.019572,0.00591
565,0.0134,0.009424,0.027118,0.011517442,0.019409,0.005949
566,0.0134,0.009276,0.027069,0.011419071,0.019248,0.005993
567,0.0133,0.009106,0.026925,0.011325219,0.019091,0.006043
568,0.0132,0.008909,0.0267,0.011235617,0.018934,0.006098
569,0.0131,0.008688,0.026326,0.011149997,0.018782,0.006158
570,0.013,0.00845,0.025816,0.011067995,0.018633,0.006224
571,0.0129,0.008191,0.025185,0.010989263,0.018485,0.006294
572,0.0127,0.007909,0.024407,0.010913518,0.018342,0.006368
573,0.0126,0.007607,0.023475,0.010840348,0.018199,0.006447
574,0.0125,0.007291,0.022459,0.010769422,0.018061,0.006529
575,0.0123,0.006958,0.021316,0.01070036,0.017925,0.006613
576,0.0122,0.006607,0.020085,0.010632752,0.017791,0.0067
577,0.012,0.006257,0.018855,0.010566408,0.01766,0.006787
578,0.0119,0.005908,0.017625,0.010500949,0.017531,0.006874
579,0.0117,0.00556,0.016397,0.01043609,0.017406,0.00696
580,0.0116,0.00522,0.015171,0.01037172,0.017282,0.007044
581,0.0114,0.004886,0.014053,0.01030762,0.017161,0.007124
582,0.0113,0.004563,0.013078,0.010243756,0.017044,0.0072
583,0.0111,0.004254,0.012158,0.010180145,0.016928,0.00727
584,0.011,0.003966,0.011317,0.010116772,0.016816,0.007334
585,0.0109,0.003702,0.010565,0.010053809,0.016704,0.00739
586,0.0107,0.003459,0.009906,0.009991493,0.016597,0.007438
587,0.0106,0.003239,0.009356,0.009930079,0.016492,0.007478
588,0.0105,0.003041,0.008927,0.009869944,0.01639,0.00751
589,0.0104,0.002865,0.008576,0.009811358,0.01629,0.007534
590,0.0103,0.002709,0.008304,0.009754873,0.016193,0.007549
591,0.0102,0.002573,0.008082,0.0097009,0.016099,0.007559
592,0.0101,0.002455,0.007898,0.009650008,0.016007,0.007562
593,0.01,0.002354,0.007776,0.009602782,0.015918,0.00756
594,0.0099,0.002269,0.007676,0.009559711,0.015833,0.007556
595,0.0098,0.002199,0.007591,0.00952138,0.01575,0.007549
596,0.0097,0.002145,0.007517,0.009488421,0.01567,0.007541
597,0.0097,0.002106,0.007455,0.009461372,0.015594,0.007534
598,0.0096,0.002082,0.00742,0.009440784,0.01552,0.00753
599,0.0096,0.002071,0.007423,0.009427244,0.01545,0.007528
600,0.0095,0.002072,0.007406,0.009421271,0.015384,0.007531
601,0.0095,0.002087,0.007355,0.009423357,0.01532,0.007538
602,0.0094,0.002115,0.007304,0.009433975,0.015261,0.007552
603,0.0094,0.002156,0.007253,0.009453519,0.015205,0.007573
604,0.0094,0.002209,0.0072,0.009482338,0.015154,0.007601
605,0.0094,0.00227,0.007148,0.009520669,0.015106,0.007636
606,0.0094,0.002337,0.007065,0.009568764,0.015062,0.007679
607,0.0094,0.002413,0.006966,0.009626671,0.015024,0.00773
608,0.0094,0.002498,0.006907,0.009694248,0.014989,0.007788
609,0.0094,0.002585,0.00689,0.009771226,0.01496,0.007854
610,0.0094,0.002673,0.006904,0.009857304,0.014935,0.007926
611,0.0095,0.002761,0.006944,0.009951741,0.014915,0.008004
612,0.0095,0.002848,0.00699,0.010053524,0.014901,0.008087
613,0.0096,0.002936,0.007008,0.010161612,0.014892,0.008174
614,0.0096,0.00302,0.007017,0.010274392,0.014888,0.008264
615,0.0097,0.003101,0.007028,0.010390143,0.014889,0.008356
616,0.0098,0.00318,0.007042,0.010506731,0.014896,0.008448
617,0.0098,0.003256,0.00706,0.010621676,0.014907,0.008538
618,0.0099,0.003327,0.007086,0.010732561,0.014924,0.008625
619,0.01,0.003394,0.007132,0.01083662,0.014944,0.008708
620,0.0101,0.003456,0.007191,0.010931119,0.014968,0.008785
621,0.0101,0.003516,0.007264,0.011013453,0.014995,0.008855
622,0.0102,0.003573,0.00734,0.011081314,0.015023,0.008916
623,0.0103,0.003629,0.007402,0.011132759,0.015053,0.008968
624,0.0103,0.003682,0.007455,0.01116646,0.01508,0.009011
625,0.0104,0.003731,0.007504,0.011181707,0.015107,0.009044
626,0.0104,0.003776,0.00755,0.011178484,0.015129,0.009068
627,0.0104,0.003817,0.007588,0.011157549,0.015147,0.009084
628,0.0104,0.003854,0.007609,0.011120356,0.015158,0.009091
629,0.0104,0.003887,0.007602,0.011068927,0.015162,0.009093
630,0.0104,0.003915,0.007602,0.011005838,0.015158,0.009091
631,0.0103,0.003938,0.007625,0.010933995,0.015146,0.009087
632,0.0103,0.003957,0.007651,0.010856559,0.015126,0.009084
