Irradiance reflectance or albedo [-] of six benthic substrate types.

Spectra 1.-4. are averages of in water spectra collected with an ASD Handheld-2 with a customized underwater housing using a Spectralon panel 
as white reference. Substrate and panel were illuminated with a tungsten halogen light source at ~ 10 cm distance (Greg Asner, personal communication).


0. constant; a constant irradiance reflectance of 0.1 or 10 % [1]
1. sand; spectrum is an average of 24 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
2. coral; spectrum is an average of 101 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
3. cca (crustose coralline algae); spectrum is an average of 751 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
4. macroalgae; spectrum is an average of 102 single measurements that have been smoothed using a Savitzky-Golay filter (window size=45, poyorder=5)
5. seagrass; seagrass (Zostera marina) from the Wismar bay in the Baltic Sea (Germany); measured in air (Schnalzger 2017 [2]) as provided with WASI6 [1]

[1] Gege (2021): The Water Colour Simulator WASI. User manual for WASI version 6.
[2] Schnalzger (2017): Spektrale Datenbank für den Untergrund der Ostsee sowie Einfluss auf die Bestimmung der Wassertiefe. Master Thesis University of Augsburg, 68 pp.

wavelength_nm,constant,sand,coral,cca,macroalgae,seagrass
471,0.1,0.184655261,0.071275238,0.129741227,0.027562388,0.00937
472,0.1,0.185541685,0.071587436,0.130064528,0.027424117,0.009399
473,0.1,0.186426565,0.071915608,0.1303525,0.027301231,0.009431
474,0.1,0.187307272,0.072251423,0.130565454,0.027211457,0.009465
475,0.1,0.188181427,0.072596085,0.13071223,0.027151933,0.0095
476,0.1,0.189042242,0.07294432,0.130803462,0.027135067,0.009535
477,0.1,0.189876726,0.073288174,0.130838665,0.027162367,0.009569
478,0.1,0.190684397,0.07362344,0.130788661,0.027209369,0.009601
479,0.1,0.191465807,0.073948141,0.130647201,0.027260394,0.00963
480,0.1,0.192223565,0.074260922,0.130427124,0.0272989,0.009656
481,0.1,0.192957923,0.074553327,0.130093508,0.027325871,0.009677
482,0.1,0.193666594,0.074821868,0.129621696,0.027349988,0.009694
483,0.1,0.194348161,0.075070453,0.129051879,0.027379139,0.009706
484,0.1,0.195003032,0.075297113,0.128412653,0.02743438,0.009714
485,0.1,0.195635293,0.075493206,0.127713802,0.027540767,0.009719
486,0.1,0.196249941,0.075665009,0.126995545,0.027671782,0.009722
487,0.1,0.196855375,0.075819075,0.126264549,0.027791496,0.009725
488,0.1,0.197452842,0.075955302,0.125464963,0.027877213,0.009728
489,0.1,0.198048142,0.076075828,0.124652264,0.027954788,0.009731
490,0.1,0.198651621,0.076185522,0.12390603,0.028050966,0.009737
